source	target	value	change
AC	AC	2	AC_to_AC
AC	MES/Hypoxia	1	AC_to_MES/Hypoxia
AC	GPC	1	AC_to_GPC
AC	OPC/NPC	1	AC_to_OPC/NPC
MES/Hypoxia	AC	1	MES/Hypoxia_to_AC
MES/Hypoxia	OPC/NPC	2	MES/Hypoxia_to_OPC/NPC
MES/Hypoxia	Mixed	1	MES/Hypoxia_to_Mixed
GPC	MES/Hypoxia	1	GPC_to_MES/Hypoxia
GPC	GPC	2	GPC_to_GPC
GPC	Mixed	1	GPC_to_Mixed
OPC/NPC	AC	1	OPC/NPC_to_AC
OPC/NPC	MES/Hypoxia	1	OPC/NPC_to_MES/Hypoxia
OPC/NPC	GPC	1	OPC/NPC_to_GPC
OPC/NPC	OPC/NPC	1	OPC/NPC_to_OPC/NPC
OPC/NPC	Mixed	3	OPC/NPC_to_Mixed
Mixed	AC	3	Mixed_to_AC
Mixed	Mixed	2	Mixed_to_Mixed
