"case_barcode"	"timepoint"	"hypoxia_ss_gsea"	"paired"	"type"
"GLSS-19-0269"	"T1"	0.802041873485119	1	"Acquired small del."
"GLSS-19-0269"	"T2"	0.939303209734137	1	"Acquired small del."
"GLSS-19-0273"	"T1"	0.92951643367106	2	"Acquired small del."
"GLSS-19-0273"	"T2"	0.804135958281829	2	"Acquired small del."
"GLSS-19-0274"	"T1"	0.885048148670302	3	"Acquired small del."
"GLSS-19-0274"	"T2"	0.939038416560041	3	"Acquired small del."
"GLSS-CU-R010"	"T1"	0.780045539610672	4	"Acquired small del."
"GLSS-CU-R010"	"T2"	0.883840370362473	4	"Acquired small del."
"GLSS-HF-2548"	"T1"	0.872042571184267	5	"Acquired small del."
"GLSS-HF-2548"	"T2"	0.862438855987956	5	"Acquired small del."
"GLSS-HF-2869"	"T1"	0.926013664321693	6	"Acquired small del."
"GLSS-HF-2869"	"T2"	0.909240124057469	6	"Acquired small del."
"GLSS-HF-8FCD"	"T1"	0.842901948390393	7	"Acquired small del."
"GLSS-HF-8FCD"	"T2"	0.944958059719961	7	"Acquired small del."
"GLSS-HF-DE05"	"T1"	0.801036983438001	8	"Acquired small del."
"GLSS-HF-DE05"	"T2"	0.889346087985664	8	"Acquired small del."
"GLSS-HF-EE77"	"T1"	0.846124222389952	9	"Acquired small del."
"GLSS-HF-EE77"	"T2"	0.871186831806399	9	"Acquired small del."
"GLSS-HK-0004"	"T1"	0.72316000023097	10	"Acquired small del."
"GLSS-HK-0004"	"T2"	0.833296641214707	10	"Acquired small del."
"GLSS-LU-00C2"	"T1"	0.912361705009169	11	"Acquired small del."
"GLSS-LU-00C2"	"T2"	0.907320693347902	11	"Acquired small del."
"GLSS-LU-0B13"	"T1"	0.905132493690028	12	"Acquired small del."
"GLSS-LU-0B13"	"T2"	0.943067822458914	12	"Acquired small del."
"GLSS-MD-0020"	"T1"	0.797671267601378	13	"Acquired small del."
"GLSS-MD-0020"	"T2"	0.766443577159198	13	"Acquired small del."
"GLSS-MD-0026"	"T1"	0.834578776739285	14	"Acquired small del."
"GLSS-MD-0026"	"T2"	0.908025820748296	14	"Acquired small del."
"GLSS-MD-0035"	"T1"	0.89365388500981	15	"Acquired small del."
