case_barcode	tumor_barcode_a	tumor_barcode_b	variant_type	n	s	r	i	e	mf_s	mf_r	mf_i	mf_is	mf_rs
CARE-MD-MD01	CARE-MD-MD01-TP-01D-WXS-B7IDEV	CARE-MD-MD01-R1-01D-WXS-TBMN64	DEL	62	6	41	5	10	0.0509	0.3051	0.0494	0.1087	0.3497
CARE-MD-MD01	CARE-MD-MD01-TP-01D-WXS-B7IDEV	CARE-MD-MD01-R1-01D-WXS-TBMN64	DNP	6	1	5	0	0	0.0085	0.0372	0	0.0099	0.0446
CARE-MD-MD01	CARE-MD-MD01-TP-01D-WXS-B7IDEV	CARE-MD-MD01-R1-01D-WXS-TBMN64	INS	10	1	6	1	2	0.0085	0.0446	0.0099	0.0198	0.0521
CARE-MD-MD01	CARE-MD-MD01-TP-01D-WXS-B7IDEV	CARE-MD-MD01-R1-01D-WXS-TBMN64	SNP	343	93	196	46	8	0.7895	1.4584	0.4545	1.3735	2.1505
CARE-MD-MD02	CARE-MD-MD02-TP-01D-WXS-48Y504	CARE-MD-MD02-R1-01D-WXS-OYF6VY	DEL	19	2	11	1	5	0.0192	0.1116	0.0091	0.0272	0.1318
CARE-MD-MD02	CARE-MD-MD02-TP-01D-WXS-48Y504	CARE-MD-MD02-R1-01D-WXS-OYF6VY	DNP	3	1	2	0	0	0.0096	0.0203	0	0.0091	0.0304
CARE-MD-MD02	CARE-MD-MD02-TP-01D-WXS-48Y504	CARE-MD-MD02-R1-01D-WXS-OYF6VY	INS	8	1	3	3	1	0.0096	0.0304	0.0272	0.0363	0.0406
CARE-MD-MD02	CARE-MD-MD02-TP-01D-WXS-48Y504	CARE-MD-MD02-R1-01D-WXS-OYF6VY	SNP	209	48	136	16	9	0.4596	1.3792	0.1451	0.5805	1.866
CARE-PS-FR01	CARE-PS-FR01-TP-01D-WXS-ZSR6HI	CARE-PS-FR01-R1-01D-WXS-CHGJES	DEL	30	3	19	5	3	0.0303	0.1892	0.0511	0.0817	0.2191
CARE-PS-FR01	CARE-PS-FR01-TP-01D-WXS-ZSR6HI	CARE-PS-FR01-R1-01D-WXS-CHGJES	DNP	5	0	3	1	1	0	0.0299	0.0102	0.0102	0.0299
CARE-PS-FR01	CARE-PS-FR01-TP-01D-WXS-ZSR6HI	CARE-PS-FR01-R1-01D-WXS-CHGJES	INS	5	1	1	2	1	0.0101	0.01	0.0204	0.0307	0.0199
CARE-PS-FR01	CARE-PS-FR01-TP-01D-WXS-ZSR6HI	CARE-PS-FR01-R1-01D-WXS-CHGJES	SNP	370	118	145	84	23	1.1902	1.4438	0.8584	2.0642	2.6187
CARE-PS-FR01	CARE-PS-FR01-TP-01D-WXS-ZSR6HI	CARE-PS-FR01-R1-01D-WXS-CHGJES	TNP	1	0	1	0	0	0	0.01	0	0	0.01
CARE-PS-FR02	CARE-PS-FR02-TP-01D-WXS-CPJMB7	CARE-PS-FR02-R1-01D-WXS-Z7XLY9	DEL	23	2	19	1	1	0.0195	0.1865	0.0096	0.0289	0.2062
CARE-PS-FR02	CARE-PS-FR02-TP-01D-WXS-CPJMB7	CARE-PS-FR02-R1-01D-WXS-Z7XLY9	DNP	6	0	3	1	2	0	0.0295	0.0096	0.0096	0.0295
CARE-PS-FR02	CARE-PS-FR02-TP-01D-WXS-CPJMB7	CARE-PS-FR02-R1-01D-WXS-Z7XLY9	INS	11	2	4	2	3	0.0195	0.0393	0.0193	0.0386	0.0589
CARE-PS-FR02	CARE-PS-FR02-TP-01D-WXS-CPJMB7	CARE-PS-FR02-R1-01D-WXS-Z7XLY9	SNP	259	131	89	31	8	1.2747	0.8737	0.299	1.5626	2.1597
CARE-PS-FR03	CARE-PS-FR03-R1-01D-WXS-YIGKHB	CARE-PS-FR03-R2-01D-WXS-K0743M	DEL	47	0	23	18	6	0	0.2353	0.1649	0.1649	0.2353
CARE-PS-FR03	CARE-PS-FR03-R1-01D-WXS-YIGKHB	CARE-PS-FR03-R2-01D-WXS-K0743M	DNP	11	1	0	10	0	0.0097	0	0.0916	0.1008	0.0102
CARE-PS-FR03	CARE-PS-FR03-R1-01D-WXS-YIGKHB	CARE-PS-FR03-R2-01D-WXS-K0743M	INS	12	1	3	7	1	0.0097	0.0307	0.0641	0.0733	0.0409
CARE-PS-FR03	CARE-PS-FR03-R1-01D-WXS-YIGKHB	CARE-PS-FR03-R2-01D-WXS-K0743M	SNP	272	58	108	91	15	0.5606	1.1047	0.8336	1.3649	1.6979
CARE-PS-FR03	CARE-PS-FR03-R1-01D-WXS-YIGKHB	CARE-PS-FR03-R2-01D-WXS-K0743M	TNP	6	0	0	6	0	0	0	0.055	0.055	0
CARE-PS-FR05	CARE-PS-FR05-R1-01D-WXS-65ID91	CARE-PS-FR05-TP-01D-WXS-1IVQO0	DEL	25	4	12	4	5	0.0375	0.1137	0.0372	0.0743	0.1516
CARE-PS-FR05	CARE-PS-FR05-R1-01D-WXS-65ID91	CARE-PS-FR05-TP-01D-WXS-1IVQO0	DNP	4	1	0	3	0	0.0094	0	0.0279	0.0372	0.0095
CARE-PS-FR05	CARE-PS-FR05-R1-01D-WXS-65ID91	CARE-PS-FR05-TP-01D-WXS-1IVQO0	INS	7	2	0	1	4	0.0188	0	0.0093	0.0279	0.019
CARE-PS-FR05	CARE-PS-FR05-R1-01D-WXS-65ID91	CARE-PS-FR05-TP-01D-WXS-1IVQO0	SNP	214	132	37	30	15	1.2387	0.3507	0.2788	1.5054	1.6017
CARE-PS-FR05	CARE-PS-FR05-R1-01D-WXS-65ID91	CARE-PS-FR05-TP-01D-WXS-1IVQO0	TNP	1	0	0	1	0	0	0	0.0093	0.0093	0
CARE-PS-FR07	CARE-PS-FR07-TP-01D-WXS-SVWJ0Q	CARE-PS-FR07-R1-01D-WXS-HWNFNP	DEL	20	4	12	2	2	0.0421	0.1179	0.0227	0.0681	0.1573
CARE-PS-FR07	CARE-PS-FR07-TP-01D-WXS-SVWJ0Q	CARE-PS-FR07-R1-01D-WXS-HWNFNP	INS	5	1	1	2	1	0.0105	0.0098	0.0227	0.034	0.0197
CARE-PS-FR07	CARE-PS-FR07-TP-01D-WXS-SVWJ0Q	CARE-PS-FR07-R1-01D-WXS-HWNFNP	SNP	212	87	53	64	8	0.9164	0.5209	0.7262	1.7134	1.3759
CARE-PS-FR07	CARE-PS-FR07-TP-01D-WXS-SVWJ0Q	CARE-PS-FR07-R1-01D-WXS-HWNFNP	TNP	1	0	0	1	0	0	0	0.0113	0.0113	0
CARE-PS-FR08	CARE-PS-FR08-TP-01D-WXS-LD7YVY	CARE-PS-FR08-R1-01D-WXS-2GIK8S	DEL	70	2	65	3	0	0.0216	0.6785	0.0336	0.056	0.6994
CARE-PS-FR08	CARE-PS-FR08-TP-01D-WXS-LD7YVY	CARE-PS-FR08-R1-01D-WXS-2GIK8S	DNP	13	0	12	1	0	0	0.1253	0.0112	0.0112	0.1253
CARE-PS-FR08	CARE-PS-FR08-TP-01D-WXS-LD7YVY	CARE-PS-FR08-R1-01D-WXS-2GIK8S	INS	35	0	32	1	2	0	0.334	0.0112	0.0112	0.334
CARE-PS-FR08	CARE-PS-FR08-TP-01D-WXS-LD7YVY	CARE-PS-FR08-R1-01D-WXS-2GIK8S	SNP	11384	117	11177	54	36	1.2639	116.6748	0.6044	1.9139	117.8961
CARE-PS-FR15	CARE-PS-FR15-R1-01D-WXS-RNMPA2	CARE-PS-FR15-R2-01D-WXS-VGJNTF	DEL	40	22	7	2	9	0.2026	0.0624	0.019	0.2285	0.2585
CARE-PS-FR15	CARE-PS-FR15-R1-01D-WXS-RNMPA2	CARE-PS-FR15-R2-01D-WXS-VGJNTF	DNP	8	2	4	1	1	0.0184	0.0357	0.0095	0.0286	0.0535
CARE-PS-FR15	CARE-PS-FR15-R1-01D-WXS-RNMPA2	CARE-PS-FR15-R2-01D-WXS-VGJNTF	INS	4	3	0	0	1	0.0276	0	0	0.0286	0.0267
CARE-PS-FR15	CARE-PS-FR15-R1-01D-WXS-RNMPA2	CARE-PS-FR15-R2-01D-WXS-VGJNTF	SNP	346	243	74	20	9	2.2375	0.6597	0.1904	2.504	2.826
CARE-PT-DU01	CARE-PT-DU01-TP-01D-WXS-J2NHPU	CARE-PT-DU01-R1-01D-WXS-DC75DQ	DEL	45	1	40	0	4	0.0092	0.3732	0	0.0091	0.3825
CARE-PT-DU01	CARE-PT-DU01-TP-01D-WXS-J2NHPU	CARE-PT-DU01-R1-01D-WXS-DC75DQ	DNP	8	1	7	0	0	0.0092	0.0653	0	0.0091	0.0746
CARE-PT-DU01	CARE-PT-DU01-TP-01D-WXS-J2NHPU	CARE-PT-DU01-R1-01D-WXS-DC75DQ	INS	11	2	5	3	1	0.0184	0.0466	0.0272	0.0453	0.0653
